ticker,date,sma_20,bb_width,volume_ratio,volume_sma_20,rsi_14,macd_histogram,price_to_sma_50,volatility_20,trend_label
STK001,2021-01-04,160.11,6.363961031,1.0,962644.0,100.0,0.0,0.0,0.012462861,Uptrend
STK001,2021-01-05,161.235,6.363961031,1.153841928,1137664.5,100.0,0.143589744,0.006977393,0.012462861,Sideways
STK001,2021-01-06,161.4166667,4.672700861,1.167277217,1241502.0,79.50530035,0.188720286,0.002250903,0.012462861,Sideways
STK001,2021-01-07,162.83,11.93301303,1.167320076,1314834.75,92.85714286,0.543952247,0.026039428,0.018137911,Downtrend
STK001,2021-01-08,163.4,11.52343699,0.694430709,1221520.0,79.2849632,0.64738615,0.013953488,0.018662585,Downtrend
STK001,2021-01-11,163.555,10.41816107,0.938320205,1206635.0,69.42909761,0.588652916,0.004738467,0.017835128,Downtrend
STK001,2021-01-12,163.8057143,9.873624316,0.938320205,1166679.571,71.95945946,0.578708853,0.009183353,0.01595424,Downtrend
STK001,2021-01-13,163.30375,10.7616661,1.057779533,1176389.75,49.07834101,0.183732372,-0.021516652,0.020678364,Sideways
STK001,2021-01-14,162.5722222,13.35649322,1.057779533,1189313.667,41.70337739,-0.275935137,-0.035997676,0.020301727,Sideways
STK001,2021-01-15,161.72,16.57647061,1.056541241,1196832.6,36.88311688,-0.725897221,-0.047427653,0.019599698,Sideways
STK001,2021-01-18,161.4490909,16.13128592,0.995592034,1196305.273,47.53508456,-0.674835904,-0.016779846,0.021467405,Downtrend
STK001,2021-01-19,161.2558333,15.61195307,0.782659897,1173126.417,48.26117814,-0.585297411,-0.013182986,0.020387331,Downtrend
STK001,2021-01-20,160.9723077,15.49652997,0.877883038,1161308.462,45.72965703,-0.599446359,-0.021135981,0.019628393,Downtrend
STK001,2021-01-21,160.4821429,16.59784734,1.333298454,1191865.929,40.96385542,-0.797730177,-0.039706242,0.019658501,Sideways
STK001,2021-01-22,159.9453333,18.02693139,0.936596707,1186492.533,38.99082569,-0.985618168,-0.046986887,0.01901232,Sideways
STK001,2021-01-25,159.371875,19.68482444,1.26336198,1207696.625,33.10002916,-1.153618081,-0.053973607,0.018424219,Sideways
STK001,2021-01-26,158.8729412,20.76016264,0.726628386,1187408.882,33.90481821,-1.184120929,-0.05024733,0.017837199,Sideways
STK001,2021-01-27,158.5766667,20.75843358,0.984946885,1186358.389,28.31035588,-0.962686729,-0.031761714,0.018013983,Downtrend
STK001,2021-01-28,158.3542105,20.54305102,0.976004007,1184778.947,31.49297615,-0.710181559,-0.025286417,0.017567336,Downtrend
STK001,2021-01-29,157.9575,21.21713657,1.32828792,1205609.85,29.04489304,-0.752315525,-0.047718532,0.017908498,Sideways
STK001,2021-02-01,157.5925,21.59477861,1.192631951,1230876.8,31.93641618,-0.571872545,-0.031084313,0.017942075,Downtrend
STK001,2021-02-02,157.1055,21.54115757,1.192631951,1236139.65,37.75196447,-0.424727928,-0.030866656,0.0175352,Downtrend
STK001,2021-02-03,156.4305,22.43965466,1.193223744,1237512.25,36.18205632,-0.570042906,-0.056027635,0.018440253,Sideways
STK001,2021-02-04,155.4305,21.56745101,0.826575885,1210812.0,37.99862448,-0.689999711,-0.061237842,0.016275043,Sideways
STK001,2021-02-05,154.5585,20.18472283,0.746854316,1213722.65,29.4600939,-0.634315481,-0.051730094,0.016569216,Sideways
STK001,2021-02-08,153.8105,18.44623699,0.908714843,1212188.85,31.44486692,-0.472568887,-0.04286341,0.016805887,Sideways
STK001,2021-02-09,152.9205,15.77950423,0.808512631,1214956.9,31.09022556,-0.442561215,-0.052860251,0.01669928,Sideways
STK001,2021-02-10,152.4665,14.48782734,1.283268237,1231773.65,43.54593774,-0.172771934,-0.031195474,0.016405194,Downtrend
STK001,2021-02-11,152.048,14.35206407,0.728039536,1211229.55,42.45003701,-0.121267414,-0.044839047,0.016236377,Sideways
STK001,2021-02-12,151.8205,14.39451635,1.12115567,1216180.8,47.60467748,0.014996887,-0.036232086,0.016022288,Sideways
STK001,2021-02-15,151.295,13.15628167,1.216443317,1231533.75,45.19161244,0.042770849,-0.043048082,0.014216142,Sideways
STK001,2021-02-16,150.594,12.05533487,0.859956238,1238895.6,35.01599716,-0.117070949,-0.061336783,0.014677293,Uptrend
STK001,2021-02-17,150.097,10.37248262,1.145074853,1260064.35,38.73994638,-0.025929047,-0.043730788,0.015399985,Downtrend
STK001,2021-02-18,149.7705,9.877578864,0.749252298,1226558.8,44.53004622,0.053794467,-0.042814412,0.014754767,Downtrend
STK001,2021-02-19,149.5895,9.583085757,0.947049151,1229201.25,41.93548387,0.20374592,-0.033875165,0.014774955,Downtrend
STK001,2021-02-22,149.5535,9.529886728,0.770746555,1199124.4,45.02901354,0.390027981,-0.025125338,0.014729528,Downtrend
