ticker,date,open,high,low,close,volume,adjusted_close
STK001,2021-01-04,158.09,160.97,158.09,160.11,962644,160.11
STK001,2021-01-05,163.16,165.5,160.76,162.36,1312685,162.36
STK001,2021-01-06,161.89,162.51,160.94,161.78,1449177,161.78
STK001,2021-01-07,163.33,167.9,163.33,167.07,1534833,167.07
STK001,2021-01-08,168.2,168.2,164.12,165.68,848261,165.68
STK001,2021-01-11,164.72,166.21,161.91,164.33,1132210,164.33
STK001,2021-01-12,160.4,167.16,160.4,165.31,926947,165.31
STK001,2021-01-13,164.15,164.15,158.25,159.79,1244361,159.79
STK001,2021-01-14,160.41,160.41,154.09,156.72,1292705,156.72
STK001,2021-01-15,153.96,154.98,152.82,154.05,1264503,154.05
STK001,2021-01-18,153.62,161.22,153.62,158.74,1191032,158.74
STK001,2021-01-19,155.91,162.64,155.87,159.13,918159,159.13
STK001,2021-01-20,159.35,159.35,155.37,157.57,1019493,157.57
STK001,2021-01-21,158.31,158.31,152.75,154.11,1589113,154.11
STK001,2021-01-22,153.55,153.64,151.31,152.43,1111265,152.43
STK001,2021-01-25,155.96,155.96,149.03,150.77,1525758,150.77
STK001,2021-01-26,148.77,152.63,148.77,150.89,862805,150.89
STK001,2021-01-27,148.59,154.41,148.59,153.54,1168500,153.54
STK001,2021-01-28,149.78,155.8,149.78,154.35,1156349,154.35
STK001,2021-01-29,154.73,154.73,148.67,150.42,1601397,150.42
STK001,2021-02-01,150.74,154.29,150.74,152.81,1467983,152.81
STK001,2021-02-02,152.23,154.99,150.75,152.62,1417942,152.62
STK001,2021-02-03,151.25,151.25,145.94,148.28,1476629,148.28
STK001,2021-02-04,150.23,150.23,144.72,147.07,1000828,147.07
STK001,2021-02-05,143.83,150.82,143.83,148.24,906474,148.24
STK001,2021-02-08,147.53,151.15,147.53,149.37,1101534,149.37
STK001,2021-02-09,150.51,151.01,145.86,147.51,982308,147.51
STK001,2021-02-10,149.23,153.01,148.9,150.71,1580696,150.71
STK001,2021-02-11,150.13,150.13,147.22,148.35,881823,148.35
STK001,2021-02-12,150.16,153.03,147.29,149.5,1363528,149.5
STK001,2021-02-15,149.15,150.58,146.63,148.23,1498091,148.23
STK001,2021-02-16,146.01,146.72,143.54,145.11,1065396,145.11
STK001,2021-02-17,147.57,148.81,145.43,147.63,1442868,147.63
STK001,2021-02-18,149.48,150.4,144.99,147.58,919002,147.58
STK001,2021-02-19,146.39,152.27,145.45,148.81,1164114,148.81
STK001,2021-02-22,151.67,151.67,148.59,150.05,924221,150.05
STK001,2021-02-23,152.98,152.98,149.39,150.11,1360499,150.11
STK001,2021-02-24,151.65,151.65,140.2,142.41,1632984,142.41
STK001,2021-02-25,141.87,144.02,141.52,142.81,1036290,142.81
STK001,2021-02-26,139.26,146.31,139.26,143.23,1141534,143.23
STK001,2021-03-01,143.87,144.58,141.32,142.76,1359184,142.76
STK001,2021-03-02,141.83,148.53,141.83,147.14,975345,147.14
STK001,2021-03-03,146.21,146.46,143.39,144.92,949790,144.92
STK001,2021-03-04,145.51,149.17,145.51,147.73,929978,147.73
STK001,2021-03-05,148.68,148.68,144.36,146.33,1356469,146.33
STK001,2021-03-08,148.1,148.1,145.01,146.77,1413989,146.77
STK001,2021-03-09,146.17,146.42,142.97,144.87,1291538,144.87
STK001,2021-03-10,142.22,144.74,142.22,143.9,1277864,143.9
STK001,2021-03-11,144.37,147.04,143.85,144.91,1520309,144.91
STK001,2021-03-12,144.48,146.91,142.6,145.08,1161795,145.08
STK001,2021-03-15,144.32,144.32,139.41,141.13,1498373,141.13
STK001,2021-03-16,139.72,141.88,138.95,140.32,1090712,140.32
STK001,2021-03-17,141.03,141.61,137.03,140.02,1387685,140.02
STK001,2021-03-18,140.33,146.68,140.33,145.46,1009592,145.46
STK001,2021-03-19,145.32,149.97,142.93,146.37,1005644,146.37
STK001,2021-03-22,146.32,146.32,138.85,140.91,1047860,140.91
STK001,2021-03-23,145.25,145.25,140.17,141.24,1288633,141.24
STK001,2021-03-24,141.77,142.45,139.21,140.85,1396501,140.85
STK001,2021-03-25,138.79,142.93,138.79,140.91,1030303,140.91
STK001,2021-03-26,142.23,147.1,141.54,144.28,1248620,144.28
STK001,2021-03-29,142.64,147.81,142.64,146.72,1441529,146.72
STK001,2021-03-30,144.15,152.7,144.15,151.0,1140630,151.0
STK001,2021-03-31,155.14,155.14,151.54,152.94,1287574,152.94
STK001,2021-04-01,151.86,151.86,149.15,150.08,1516951,150.08
STK001,2021-04-02,149.13,151.22,149.13,150.54,1408148,150.54
STK001,2021-04-05,150.67,150.67,144.61,146.04,1279011,146.04
STK001,2021-04-06,146.9,146.9,141.59,143.1,1215299,143.1
